mesa registrados votaron pro eco blanco impugnado nulo recurrido tecnico
158 346 237 66.67 29.54 3.8 0 0 0 0
159 342 221 75 20.91 4.09 0 0.45 0 0
160 344 213 64.79 31.46 3.76 0 0 0 0
161 342 218 60.83 32.72 6.45 0 0 0 0.46
162 343 206 67.48 29.61 2.91 0 0 0 0
163 341 217 69.63 26.64 3.74 0 1.4 0 0
164 340 228 63.16 32.89 3.95 0 0 0 0
165 344 214 66.2 31.92 1.88 0 0.47 0 0
166 339 190 59.79 35.45 4.76 0 0.53 0 0
167 339 191 53.44 42.86 3.7 0 1.06 0 0
168 340 186 60.75 34.95 4.3 0 0 0 0
169 342 200 69.35 25.13 5.53 0 0.5 0 0
170 338 198 58.46 37.95 3.59 0 1.54 0 0
171 337 195 70.62 26.8 2.58 0 0.52 0 0
172 341 193 63.02 32.81 4.17 0 0.52 0 0
173 341 201 69.5 26.5 4 0 0.5 0 0
174 342 199 63.78 32.14 4.08 0 1.02 0 0.51
175 340 188 60.96 32.62 6.42 0 0.53 0 0
176 342 180 70.95 25.7 3.35 0 0.56 0 0
177 339 196 63.59 32.82 3.59 0 0.51 0 0
178 338 173 61.05 34.88 4.07 0 0.58 0 0
179 341 198 63.4 31.44 5.15 0 1.55 0 0.52
180 339 202 55.94 39.11 4.95 0 0 0 0
181 342 206 62.75 32.84 4.41 0 0.49 0.49 0
182 336 197 72.02 23.32 4.66 0 2.07 0 0
183 338 187 62.03 34.76 3.21 0 0 0 0
184 338 192 71.35 26.56 2.08 0 0 0 0
185 339 205 64.71 31.86 3.43 0 0.49 0 0
186 340 193 66.67 30.73 2.6 0 0.52 0 0
187 339 193 60.1 34.2 5.7 0 0 0 0
188 339 183 62.3 34.43 3.28 0 0 0 0
189 338 204 66.01 29.06 4.93 0 0.49 0 0
190 338 206 60.8 39.2 0 0 0.5 3.02 0
191 339 202 57.5 42 0.5 0 1 0 0
192 351 182 62.98 33.15 3.87 0 0.55 0 0
193 349 206 53.96 42.08 3.96 0 1.98 0 0
194 350 182 55.8 38.67 5.52 0 0 0 0.55
195 349 195 61.03 36.41 2.56 0 0 0 0
196 348 187 63.04 32.07 4.89 0 1.63 0 0
197 349 197 62.89 34.02 3.09 0 1.55 0 0
198 351 203 62.56 32.02 5.42 0 0 0 0
199 348 190 61.7 35.11 3.19 0 1.06 0 0
200 351 171 57.31 38.01 4.68 0 0 0 0
201 349 212 63.29 31.88 4.83 0 2.42 0 0
202 347 187 60.22 33.33 6.45 0 0.54 0 0
203 348 203 56.44 38.12 5.45 0 0.5 0 0
204 352 196 62.56 34.36 3.08 0 0.51 0 0
205 350 197 60.2 35.2 4.59 0 0.51 0 0
206 351 193 64.4 31.94 3.66 0 1.05 0 0
207 349 189 52.91 41.27 5.82 0 0 0 0
208 345 187 63.64 34.22 2.14 0 0 0 0
209 353 196 61.34 33.51 5.15 0 1.03 0 0
210 348 202 57.43 37.62 4.95 0 0 0 0
211 349 179 57.87 37.64 4.49 0 0.56 0 0
212 347 195 57.22 40.72 2.06 0 0.52 0 0
213 351 200 62.31 30.15 7.54 0 0.5 0 0
214 344 203 57.21 38.81 3.98 0 1 0 0
215 348 199 65.33 31.66 3.02 0 0 0 0
216 348 181 56.91 36.46 6.63 0 0 0 0
217 351 203 60.89 33.17 5.94 0 0.5 0 0
218 348 182 58.52 37.5 3.98 0 3.41 0 0
219 347 193 53.16 40 6.84 0 1.05 0.53 0
220 350 173 65.12 30.23 4.65 0.58 0 0 0
221 351 190 46.56 44.44 8.99 0 0.53 0 0
222 350 193 60 34.74 5.26 0 1.58 0 0
223 347 202 58.91 35.15 5.94 0 0 0 0
224 348 189 62.9 33.33 3.76 0 1.61 0 0
225 349 226 48.66 44.64 6.7 0 0.89 0 0
226 349 223 50.67 44.39 4.93 0 0 0 0
227 347 220 56.88 38.07 5.05 0 0.92 0 0
