mesa,registrados,votaron,pro,eco,blanco,impugnado,nulo,recurrido,tecnico
342,349,233,101,122,8,0,2,0,0
343,350,211,97,102,8,0,4,0,0
344,350,228,104,101,20,0,3,0,0
345,350,207,97,92,15,0,3,0,0
346,349,221,101,107,12,0,1,0,0
347,350,218,103,92,18,0,4,0,1
348,350,211,91,109,9,0,1,0,1
349,351,213,98,104,9,0,2,0,0
350,349,218,98,108,5,0,7,0,0
351,348,231,96,120,12,0,3,0,0
352,350,245,123,105,13,0,3,0,1
353,349,232,123,98,10,0,1,0,0
354,350,226,93,112,18,0,3,0,0
355,352,224,125,90,9,0,0,0,0
356,352,242,117,112,13,0,0,0,0
357,350,223,109,102,11,0,1,0,0
358,352,221,92,105,23,0,1,0,0
359,354,224,109,106,7,0,2,0,0
360,350,219,99,106,11,0,1,1,1
361,350,209,114,78,13,0,4,0,0
362,348,225,102,109,10,0,4,0,0
363,351,225,99,109,16,0,1,0,0
364,350,217,98,103,13,0,3,0,0
365,352,224,101,106,16,0,1,0,0
366,351,226,91,116,17,0,2,0,0
367,344,196,96,87,9,0,3,1,0
368,348,216,106,99,9,0,2,0,0
369,348,211,104,95,8,1,3,0,0
370,348,206,102,91,13,0,0,0,0
371,345,207,106,87,12,0,2,0,0
372,346,204,106,85,9,1,3,0,0
373,344,183,90,85,7,1,0,0,0
374,347,210,110,88,11,0,1,0,0
375,345,204,104,82,18,0,0,0,0
376,346,193,103,71,16,0,3,0,0
377,345,211,117,85,5,0,4,0,0
378,346,197,109,80,7,1,0,0,0
379,344,206,114,82,9,0,1,0,0
380,347,185,88,85,10,0,2,0,0
381,343,200,94,92,11,0,3,0,0
382,340,191,89,92,6,0,4,0,0
383,342,202,77,107,16,0,2,0,0
384,338,206,72,116,18,0,0,0,0
385,339,216,102,98,15,1,0,0,0
386,338,190,86,90,12,2,0,0,0
387,336,197,77,111,8,0,1,0,0
388,341,208,92,105,9,0,2,0,0
389,342,200,74,114,11,0,1,0,0
390,339,203,92,98,13,0,0,0,0
391,337,211,89,101,17,0,3,0,1
392,340,199,69,115,12,0,3,0,0
393,338,194,80,104,9,0,1,0,0
394,339,211,67,124,13,0,7,0,0
395,339,201,69,121,10,0,1,0,0
396,338,200,81,98,16,0,5,0,0
397,341,199,91,89,12,0,7,0,0
398,338,198,85,100,9,0,2,0,2
399,338,193,73,107,11,0,2,0,0
400,341,223,91,104,23,0,5,0,0
401,338,187,67,106,12,0,2,0,0
402,340,190,83,97,9,0,0,0,1
403,342,204,68,118,15,0,2,0,1
404,336,195,73,112,9,0,1,0,0
405,337,205,83,92,20,0,10,0,0
406,335,197,89,93,12,0,3,0,0
407,333,197,84,95,14,1,3,0,0
408,348,237,104,111,16,0,6,0,0
409,347,205,101,94,10,0,0,0,0
410,349,207,77,111,14,0,5,0,0
411,348,218,93,101,21,0,3,0,0
412,350,211,96,100,13,0,2,0,0
413,349,221,110,89,19,0,3,0,0
414,346,215,100,91,16,0,8,0,0
415,350,223,94,117,11,0,1,0,0
416,344,213,104,90,17,0,2,0,0
417,346,215,99,101,11,0,4,0,0
418,350,213,99,99,14,0,1,0,0
419,348,215,107,91,13,0,4,0,0
420,346,213,87,119,5,0,2,0,0
421,347,217,97,106,12,0,2,0,0
422,348,215,96,108,8,0,3,0,0
423,347,211,106,85,16,0,4,0,0
424,347,210,90,104,12,0,3,1,0
425,347,206,90,107,9,0,0,0,0
426,345,210,99,105,5,0,1,0,0
427,347,226,101,112,10,0,3,0,0
428,345,212,98,104,7,0,3,0,0
429,346,195,92,97,6,0,0,0,0
430,346,229,90,116,20,0,3,0,0
431,350,212,110,90,12,0,0,0,0
432,348,224,101,111,10,0,2,0,0
433,350,216,85,120,8,0,3,0,0
434,346,222,92,110,14,0,6,0,0
435,346,229,97,113,17,0,2,0,0
436,349,218,104,100,13,0,1,0,0
437,347,225,97,108,17,0,3,0,0
438,349,220,107,104,6,0,3,0,0
439,348,223,102,107,13,1,0,0,0
440,350,238,84,138,13,0,3,0,0
441,351,221,107,96,13,0,5,0,0
442,349,233,100,109,20,0,4,0,0
443,348,216,94,106,14,2,0,0,0
444,349,224,107,101,10,0,6,0,0
445,349,235,98,120,13,0,4,0,0
446,347,221,107,96,12,0,6,0,0
447,349,219,96,113,10,0,0,0,0
448,352,214,95,102,15,0,2,0,0
449,345,219,100,105,13,0,1,0,0
450,348,230,85,120,23,1,1,0,0
451,349,232,106,114,5,0,7,0,0
